TRACTCE,White,Black or African American,American Indian and Alaska Native,Cherokee Tribal Grouping,Sioux Tribal Grouping,Asian
970101,868,34,0,0,0,0
970102,"2,280",45,0,0,0,7
970103,"2,440",0,0,0,0,0
9702,"1,205",33,0,0,0,8
970301,"3,408",955,91,0,0,0
970304,"1,916",202,0,0,0,0
970305,"1,437",401,7,0,0,11
970401,"1,256",149,0,0,0,15
970402,979,227,11,0,0,15
970403,893,19,0,0,0,0
970501,"2,648",65,0,0,0,56
970502,"2,146",34,4,0,0,0
970503,"1,707",109,0,0,0,92
970504,"1,537",47,0,0,0,106
970601,"1,016",13,3,0,0,0
970602,992,0,0,0,0,113
970603,"1,139",48,0,0,0,0
970606,"3,389",36,0,0,0,137
970701,"1,099",22,8,0,3,40
970702,"3,493",24,8,0,0,30
970703,"3,715",221,0,0,0,58
970704,"1,941",34,16,0,0,0
970801,"2,711",104,17,0,0,29
970804,"3,578",89,9,0,0,69
970805,"1,375",12,3,0,0,59
970806,"4,013",42,4,0,4,22
970903,914,7,2,0,0,0
970904,"2,605",7,40,4,0,0
971003,"1,692",10,5,0,0,11
971103,"1,737",32,1,0,0,0
