"","TRACTCE","AnnualizedFloodFrequency","White","Black.or.African.American","American.Indian.and.Alaska.Native","Cherokee.Tribal.Grouping","Sioux.Tribal.Grouping","Asian","LaborForce16YearsandOver","PercentEmployed","EmployedMale","EmployedFemale","Unemployed","UnemployedMales","UnemployedFemales","25over&belowpovertyline","Lessthanhighschoolgraduatebelowpovertyline","Highschoolgraduatebelowpovertyline","Somecollegeassociatesdegreebelowpovertyline","Bachelorsdegreeorhigherbelowpovertyline","PopulationbelowPovertyLine","Under18belowpovertyline","18to64belowpovertyline","65overbelowpovertyline"
"1",970101,3.04287960037105,92.3,3.6,0,0,0,0,7.8,4.9,1.1,10.2,100,100,NA,8.9,2.7,14,7,0,9.3,11.6,12,3.5
"2",970102,2.39172918645035,95.3,1.9,0,0,0,0.3,0.8,0.8,0,1.5,0,0,NA,2.9,4.7,2.6,2.9,2,3.8,10.5,3.5,1.4
"3",970103,3.19700000003752,98.5,0,0,0,0,0,17.1,11.3,13.2,9,88.7,85.5,100,18.9,66.3,17.8,18.5,0,19.7,21.6,21.3,13.8
"4",970200,3.19700000005041,96.4,2.6,0,0,0,0.6,17.1,13.2,0,21.6,71.8,0,82.4,14.3,9.4,13.4,2.8,33.3,13.3,11.2,15.7,9.1
"5",970301,3.36581688939088,72.7,20.4,1.9,0,0,0,7.7,7.9,8.5,7.2,0,0,0,10.8,6.6,4.7,16.8,8.9,13.1,25.6,16.8,2.5
"6",970304,3.35298623499351,82.4,8.7,0,0,0,0,15.3,13.7,16.4,12.1,28.8,55.9,16.9,17.4,35.9,20.7,19.5,8.2,18.4,22.4,20.4,12.1
"7",970305,3.68489738330096,74.2,20.7,0.4,0,0,0.6,6,5,1.3,8.2,24.4,0,33.3,9.4,18.5,7.8,10.9,5.8,9.3,8.3,10.5,7.3
"8",970401,3.68700000019353,87,10.3,0,0,0,1,16.2,14.5,3,25.1,70.8,70.8,NA,15.2,28.3,6.8,13.3,23.4,17.5,12.1,22.1,6.8
"9",970402,3.68700000007227,72.5,16.8,0.8,0,0,1.1,7.2,7.9,6.6,9.2,1.6,2,0,19.2,26.9,39.7,8.6,6.6,24,48.6,20.9,14.2
"10",970403,3.62722418732608,74.7,1.6,0,0,0,0,5.1,1,0,2.2,65.7,100,63.6,7.9,0,30.6,1.7,8.8,6.6,6.3,4,11.7
"11",970501,3.51890845515289,87.3,2.1,0,0,0,1.8,15.1,15.7,11.2,20,0,NA,0,11.4,46.8,18.2,4.7,0,14.5,20.4,15.2,6.6
"12",970502,3.68700000011116,97.4,1.5,0.2,0,0,0,4.2,4.2,7.5,1.2,0,0,0,4.7,30.5,3.4,3.5,1.7,4.2,0,4.6,5.8
"13",970503,3.6869798472927,79,5,0,0,0,4.3,8.3,7.6,1.2,13.7,45,0,100,10.9,56.1,5.4,11.8,2,14.3,25.7,11.2,9.7
"14",970504,3.68700000005659,82.6,2.5,0,0,0,5.7,0.9,1,2.1,0,0,0,NA,3.2,0,9,4.3,2,2.7,1.7,4.1,0
"15",970601,3.19700000008603,95,1.2,0.3,0,0,0,0,0,0,0,0,NA,0,3.8,0,10.7,3.8,0,2.8,0,2.7,5.2
"16",970602,3.19700000019504,89.8,0,0,0,0,10.2,0,0,0,0,NA,NA,NA,0.7,0,3.6,0,0,0.5,0,0,2.6
"17",970603,0.012,78.4,3.3,0,0,0,0,13.7,12.3,10.1,15,29.3,0,42.5,17.8,31.7,13.5,20.4,4.4,19.8,22.2,18.4,21.8
"18",970606,3.19700000028233,90,1,0,0,0,3.6,4.2,4.3,3.1,5.8,0,NA,0,4.1,21.6,2.7,8.8,1,4.1,2.9,4.9,3.5
"19",970701,3.19700000015502,91,1.8,0.7,0,0.2,3.3,26.4,20.8,26.2,13.3,64.1,0,67.2,20.6,62.8,19.7,20.6,0,23.1,35.3,28.7,2.6
"20",970702,3.19700000012794,96.3,0.7,0.2,0,0,0.8,9.9,4.1,2.6,6,63.9,91.8,54.5,11.8,8.5,13,17.3,0,15.3,24.5,13.9,0.3
"21",970703,3.19700000016177,88.2,5.2,0,0,0,1.4,3.5,1,0,1.8,29.7,11.7,64.5,7.9,0.4,8.3,12.7,0,6.3,0,8.3,5.7
"22",970704,3.53196392704974,89.8,1.6,0.7,0,0,0,3.9,4.1,4.2,3.8,0,0,0,4.7,12.4,6.2,4.3,0,5.7,17.9,6.3,0
"23",970801,3.19700000013127,93,3.6,0.6,0,0,1,10.3,10.9,9.5,12.2,6.1,6,6.5,9.3,46.6,10,3.9,7.3,14.1,26.9,13.5,2.3
"24",970804,3.19700000006193,91.6,2.3,0.2,0,0,1.8,0.3,0.3,0.5,0,0,0,0,2.7,5.8,1.3,2.7,3.1,2.4,2.1,1.4,5.9
"25",970805,3.19700000034055,84.1,0.7,0.2,0,0,3.6,5.7,4.3,4.9,3.6,52.4,100,16.7,11.8,12.3,15.7,13.2,0,12.2,15.7,11.7,10
"26",970806,3.25525124326579,94.1,1,0.1,0,0.1,0.5,4.7,4.4,3.1,5.9,14.9,18.9,0,8.1,18.4,16.8,7.5,3.1,7.4,6,7.1,9.2
"27",970903,3.19700028805156,86.6,0.7,0.2,0,0,0,0,0,0,0,0,0,NA,3.7,NA,4.3,1.6,4.9,3.3,0,5.3,1.5
"28",970904,3.49237128918115,93.4,0.3,1.4,0.1,0,0,1.2,1.3,0,2.7,0,0,0,2.4,0,3.3,4.1,1.3,2.1,0,2.9,1.8
"29",971003,3.20273310766162,97.5,0.6,0.3,0,0,0.6,1.3,1,0.2,2.4,6.7,0,20,2.1,5,3,2.1,1.9,2.3,0,3,1.9
"30",971103,3.59715099160171,97.3,1.8,0.1,0,0,0,5,5.1,2.7,8.7,0,0,0,8.3,0,20.4,6.3,5,9.3,16.8,11.4,4.6
